,company_name_id,year_founded,zip_code,full_time_employees,company_category,description,description_short,job_name,job_id
53,yahoo,1994.0,94089.0,10001.0,Lifestyle & Consumer,"The company  is a global Internet brand. To users, the company provides owned and operated online properties and services (Properties, Offerings, or Owned and Operated sites). also extends its marketing platform and access to Internet users beyond Properties through its distribution network of third-party entities who have integrated its advertising offerings into their Websites or their other offerings. To advertisers and publishers, it provides a range of marketing solutions and tools that enable businesses to reach users who visit Properties and its affiliate sites. To developers, the Company provides an array of Web services and application programming interfaces (APIs), technical resources, tools, and channels to market.","The company is a major internet brand with search, content verticals, and other web services.",Cloud Engineer,53
54,yahoo,1994.0,94089.0,10001.0,Lifestyle & Consumer,"The company  is a global Internet brand. To users, the company provides owned and operated online properties and services (Properties, Offerings, or Owned and Operated sites). also extends its marketing platform and access to Internet users beyond Properties through its distribution network of third-party entities who have integrated its advertising offerings into their Websites or their other offerings. To advertisers and publishers, it provides a range of marketing solutions and tools that enable businesses to reach users who visit Properties and its affiliate sites. To developers, the Company provides an array of Web services and application programming interfaces (APIs), technical resources, tools, and channels to market.","The company is a major internet brand with search, content verticals, and other web services.",Data Scientist,54
55,zurich,1912.0,60196.0,10001.0,Insurance,"The company helps corporate customers gain a structured insight into the complexities of global risk. It uses data on risks as varied as water shortages, energy price fluctuations, or political unrest. The tool goes beyond the ability to look at risks in single dimensions and shows the complex interactions between many different types of risks.",The company is a proprietary global risk analysis tool designed to help illustrate the impact of multivariate risks on individual countries and regions.,Cloud Engineer,55
56,zurich,1912.0,60196.0,10001.0,Insurance,"The company helps corporate customers gain a structured insight into the complexities of global risk. It uses data on risks as varied as water shortages, energy price fluctuations, or political unrest. The tool goes beyond the ability to look at risks in single dimensions and shows the complex interactions between many different types of risks.",The company is a proprietary global risk analysis tool designed to help illustrate the impact of multivariate risks on individual countries and regions.,Python Software Engineer,56
57,zurich,1912.0,60196.0,10001.0,Insurance,"The company helps corporate customers gain a structured insight into the complexities of global risk. It uses data on risks as varied as water shortages, energy price fluctuations, or political unrest. The tool goes beyond the ability to look at risks in single dimensions and shows the complex interactions between many different types of risks.",The company is a proprietary global risk analysis tool designed to help illustrate the impact of multivariate risks on individual countries and regions.,Java Developer,57
58, ,1912.0,60196.0,10001.0,Insurance,"The company helps corporate customers gain a structured insight into the complexities of global risk. It uses data on risks as varied as water shortages, energy price fluctuations, or political unrest. The tool goes beyond the ability to look at risks in single dimensions and shows the complex interactions between many different types of risks.",The company is a proprietary global risk analysis tool designed to help illustrate the impact of multivariate risks on individual countries and regions.,Cloud Engineer,58
59,zurich,1912.0,60196.0,10001.0,Insurance,"The company helps corporate customers gain a structured insight into the complexities of global risk. It uses data on risks as varied as water shortages, energy price fluctuations, or political unrest. The tool goes beyond the ability to look at risks in single dimensions and shows the complex interactions between many different types of risks.",The company is a proprietary global risk analysis tool designed to help illustrate the impact of multivariate risks on individual countries and regions.,Data Scientist,59
60,cadbury_schweppes,1824.0,7936.0,71657.0,Confectionery,"This position is for a process developer with 3-5 years of experience supporting the NA Region Biscuit Process Development. Projects will focus on Innovation, Core process development & optimization, and quality improvement. The candidate will be responsible for the process development, optimization, and commercialization of new snack products related to the Biscuit category. This position allows the candidate to develop and drive growth opportunities within the Innovation group. This position will have the opportunity to work on multiple brands across and build strong relationships across R&D, with suppliers, Co-manufacturers, the Business, Research, etc.","This position is for a process developer with 3-5 years of experience supporting the NA Region Biscuit Process Development. Projects will focus on Innovation, Core process development & optimization, and quality improvement. The candidate will be responsible for the process development, optimization, and commercialization of new snack products related to the Biscuit category. This position allows the candidate to develop and drive growth opportunities within the Innovation group. This position will have the opportunity to work on multiple brands across and build strong relationships across R&D, with suppliers, Co-manufacturers, the Business, Research, etc.",Senior Engineer,60
61,cadbury_schweppes,1824.0,7936.0,71657.0,Confectionery,"Responsible for business engagement, definition of the roadmap, technical solution design, solution adoption & ROI Delivery of effective and efficient Social Media Management Solutions
Accelerates growth through provision of technological solutions that derive insights from social data to enable actions and deliver business value by increasing our social intelligence
Supports Social Media community mgmt. & personalization by putting in place technology & governance
Ensures best in class Social Media Management technology stack for MDLZ is created and maintained
Enables standardization, simplification & governance of end to end processes by building sponsorship to invest in common critical technology infrastructure, empowering brands at market level","Responsible for business engagement, definition of the roadmap, technical solution design, solution adoption & ROI Delivery of effective and efficient Social Media Management Solutions
Accelerates growth through provision of technological solutions that derive insights from social data to enable actions and deliver business value by increasing our social intelligence
Supports Social Media community mgmt. & personalization by putting in place technology & governance
Ensures best in class Social Media Management technology stack for MDLZ is created and maintained
Enables standardization, simplification & governance of end to end processes by building sponsorship to invest in common critical technology infrastructure, empowering brands at market level",Global Technology Lead,61
62,marriott,1927.0,20810.0,177000.0,Hospitality,"The Senior Engineer oversees and/or performs highly technical functions, including engineering, materials testing, design review and monitoring of the quality of construction performed by architects, engineers, consultants, contractors and sub-contractors on a variety of DASNY projects.","The Senior Engineer oversees and/or performs highly technical functions, including engineering, materials testing, design review and monitoring of the quality of construction performed by architects, engineers, consultants, contractors and sub-contractors on a variety of DASNY projects.",Senior Engineer,62
63,marriott,1927.0,20810.0,177000.0,Hospitality,"This role requires the ability to move and lift up to 25 lbs. Standing, sitting or walking for extended periods of time and ensuring a professional appearance in a clean uniform are also required. Prior to employment, we’ll ask you to complete safety training and certification.","This role requires the ability to move and lift up to 25 lbs. Standing, sitting or walking for extended periods of time and ensuring a professional appearance in a clean uniform are also required. Prior to employment, we’ll ask you to complete safety training and certification.",Server,63
64,syniverse,1987.0,33647.0,2179.0,Telecommunications,"The Technical Service Manager is responsible for providing leadership in various functions with the objective of maintaining normal operation of IT systems for clients; undertake installation and commissioning of software and hardware; deliver a successful development, implementation and support services to all our customers. Working principally with different departments including Solution Consulting, Sales, Project Management, Development and other functions to ensure the provided services are meeting customer Service Level Agreements and expectations. Project Delivery Completes deliverables on time and on budget Adjusts project efforts to manage multiple demands and shifting priorities. Leads the team into a timely “best possible solution” decision and reach closure.","The Technical Service Manager is responsible for providing leadership in various functions with the objective of maintaining normal operation of IT systems for clients; undertake installation and commissioning of software and hardware; deliver a successful development, implementation and support services to all our customers. Working principally with different departments including Solution Consulting, Sales, Project Management, Development and other functions to ensure the provided services are meeting customer Service Level Agreements and expectations. Project Delivery Completes deliverables on time and on budget Adjusts project efforts to manage multiple demands and shifting priorities. Leads the team into a timely “best possible solution” decision and reach closure.",Technical Service Manager,64
