company_name_id,company_name,company_category
microsoft-windows-azure-marketplace,Microsoft Windows Azure Marketplace,Data/Technology
mint,Mint,Finance & Investment
moodys,Moody's,Finance & Investment
morgan-stanley,Morgan Stanley,Finance & Investment
morningstar-inc,"Morningstar, Inc.",Finance & Investment
mozio,Mozio,Transportation
muckrockcom,MuckRock.com,Business & Legal Services
munetrix,Munetrix,Governance
municode,Municode,Business & Legal Services
national-van-lines,National Van Lines,Transportation
nationwide-mutual-insurance-company,Nationwide Mutual Insurance Company,Insurance
nautilytics,Nautilytics,Data/Technology
navico,Navico,Geospatial/Mapping
nera-economic-consulting,NERA Economic Consulting,Research & Consulting
nerdwallet,NerdWallet,Finance & Investment
new-media-parents,New Media Parents,Geospatial/Mapping
next-step-living,Next Step Living,Energy
nextbus,NextBus,Transportation
ngap-incorporated,nGAP Incorporated,Governance
nielsen,Nielsen,Research & Consulting
noesis,Noesis,Energy
nonprofitmetrics,NonprofitMetrics,Data/Technology
north-american-van-lines,North American Van Lines,Transportation
noveda-technologies,Noveda Technologies,Data/Technology
nucivic,NuCivic,Governance
numedii,Numedii,Scientific Research
oliver-wyman,Oliver Wyman,Research & Consulting
ondeck,OnDeck,Finance & Investment
onstar,OnStar,Geospatial/Mapping
ontodia-inc,"Ontodia, Inc",Data/Technology
onvia,Onvia,Governance
open-data-nation,Open Data Nation,Research & Consulting
opencounter,OpenCounter,Governance
opengov,OpenGov,Governance
openplans,OpenPlans,Governance
opportunityspace-inc,"OpportunitySpace, Inc.",Housing/Real Estate
optensity,Optensity,Data/Technology
optigov,optiGov,Governance
optuminsight,OptumInsight,Healthcare
orlin-research,Orlin Research,Data/Technology
osisoft,OSIsoft,Data/Technology
otc-markets,OTC Markets,Finance & Investment
outline,Outline,Governance
oversight-systems,Oversight Systems,Business & Legal Services
overture-technologies,Overture Technologies,Data/Technology
owler,Owler,Business & Legal Services
palantir-technologies,Palantir Technologies,Data/Technology
parsons-brinckerhoff,Parsons Brinckerhoff,Transportation
patentlyo,Patently-O,Media
patientslikeme,PatientsLikeMe,Healthcare
pave,Pave,Finance & Investment
paxata,Paxata,Data/Technology
payscale-inc,"PayScale, Inc.",Business & Legal Services
peerj,PeerJ,Scientific Research
people-power,People Power,Data/Technology
persint,Persint,Finance & Investment
personal-democracy-media,Personal Democracy Media,Governance
personal-inc,"Personal, Inc.",Lifestyle & Consumer
personalis,Personalis,Scientific Research
petersons,Peterson's,Education
pev4mecom,PEV4me.com,Energy
pixia-corp,PIXIA Corp,Data/Technology
placeilivecom,PlaceILive.com,Housing/Real Estate
planetecosystems,PlanetEcosystems,Energy
plotwatt,PlotWatt,Energy
plusu,Plus-U,Education
policymap,PolicyMap,Geospatial/Mapping
politify,Politify,Governance
poncho-app,Poncho App,Environment & Weather
popvox,POPVOX,Governance
porch,Porch,Housing/Real Estate
possibilityu,PossibilityU,Education
poweradvocate,PowerAdvocate,Energy
practice-fusion,Practice Fusion,Healthcare
predilytics,Predilytics,Healthcare
pricewaterhousecoopers-pwc,PricewaterhouseCoopers (PWC),Finance & Investment
programmableweb,ProgrammableWeb,Data/Technology
progressive-insurance-group,Progressive Insurance Group,Insurance
propeller-health,Propeller Health,Healthcare
propublica,ProPublica,Governance
publicengines,PublicEngines,Governance
pya-analytics,PYA Analytics,Research & Consulting
qado-energy-inc,"Qado Energy, Inc.",Energy
quandl,Quandl,Data/Technology
quertle,Quertle,Data/Technology
quid,Quid,Data/Technology
r-r-donnelley,R R Donnelley,Business & Legal Services
rand-corporation,RAND Corporation,Research & Consulting
rand-mcnally,Rand McNally,Geospatial/Mapping
rank-and-filed,Rank and Filed,Finance & Investment
ranku,Ranku,Education
rapid-cycle-solutions,Rapid Cycle Solutions,Data/Technology
realtorcom,realtor.com,Housing/Real Estate
recargo,Recargo,Energy
recipal,ReciPal,Food & Agriculture
redfin,Redfin,Housing/Real Estate
redlaser,RedLaser,Lifestyle & Consumer
reed-elsevier,Reed Elsevier,Business & Legal Services
rei-systems,REI Systems,Data/Technology
relationship-science,Relationship Science,Business & Legal Services
remi,Remi,Governance
retroficiency,Retroficiency,Energy
revaluate,Revaluate,"Housing/Real Estate,"
